Accession n k30_s2000 k25_s2000 k21_s2000 k20_s2000 k19_s2000 k10_s2000 k21_s4000 k21_s1000 k19_s500
GCA_001712655.1 38588741 18013 18179 17559 17770 17757 245 8835 35313 71102
GCA_001712705.2 37149886 17704 17651 17527 17408 17293 245 8765 34876 69799
GCA_001712715.2 37835829 17959 18119 17528 17736 17703 245 8822 35255 70944
GCA_001933315.1 39529821 19192 19008 18851 19088 18943 245 9429 37871 75957
GCA_001933325.1 39480448 19102 19005 18931 19039 18970 245 9484 37925 75924
GCA_001933335.1 39360819 19247 19050 18900 19031 19012 245 9470 37986 76118
GCA_001933345.1 39635022 19228 19090 18917 19156 19001 245 9499 38122 76283
GCA_001933395.1 39758578 19195 19121 19005 19251 19051 245 9516 38105 76369
GCA_001933405.1 39676326 19285 19098 19021 19204 19109 245 9528 38094 76441
GCA_001933415.1 39681263 19205 19068 18993 19120 18995 245 9524 38087 76256
GCA_001933455.1 39791088 19158 19160 19069 19214 18982 245 9529 38256 76578
GCA_001933465.1 40936478 19699 19708 19568 19720 19623 245 9772 39259 78750
GCA_001933485.1 39706000 19184 19053 18988 19154 19005 245 9535 38150 76421
GCA_001955675.1 41279297 20002 19824 19656 19880 19783 246 9834 39459 79134
GCA_002025845.1 77935995 33353 32551 31526 31446 31182 245 15767 62883 126325
GCA_002025925.1 75804006 32734 31891 31345 30680 30340 246 15702 62179 124730
GCA_002215365.1 102785059 44056 42698 41165 40736 40228 245 20811 82962 165272
GCA_002247145.1 40947641 19564 19577 19679 19480 19439 245 9843 38958 77789
GCA_002288995.1 57309778 22343 22065 21931 21900 21520 245 11011 43865 87768
GCA_002734105.1 63589482 30242 30023 29827 29667 29572 245 14956 59389 118487
GCA_002734125.1 68920635 32757 32864 32436 32434 32219 245 16317 64664 128944
GCA_002812785.1 38679692 18931 18889 18662 18573 18790 245 9231 37137 74618
GCA_002911725.1 109132272 38459 36978 34989 34419 34121 245 17569 70183 139869
GCA_002968915.1 61003228 21202 20893 20509 20491 20516 245 10307 41089 82556
GCA_003287315.1 59993950 25935 26271 25596 25494 25754 256 12707 51394 102715
GCA_003328465.1 59784026 26073 25914 25484 25233 25461 245 12703 51085 101953
GCA_003956735.1 70999146 22227 21850 21437 21452 21411 245 10733 43200 86630
GCA_004137865.1 54102658 24596 24113 24030 23617 23607 245 12011 47820 95618
GCA_004137885.1 57620413 25791 25179 24896 24393 24597 245 12424 49590 99152
GCA_004137955.1 59024647 26072 25353 24917 24671 24817 245 12422 49824 99714
GCA_004137965.1 41286511 19797 19448 19624 19224 19312 245 9783 39044 77916
GCA_004137975.1 52856519 24167 23780 23601 23370 23247 245 11742 47063 94232
GCA_004138045.1 59625234 26061 25629 25238 24966 24986 245 12654 50177 100516
GCA_009732905.1 78767658 33299 32393 31740 31040 30758 245 15841 62953 126460
GCA_009732925.1 78823164 33502 32797 31772 31608 31319 245 15911 63386 127214
GCA_009732945.1 78890942 33337 32429 31854 31150 30827 245 15909 63158 126721
GCA_009732985.1 79739945 33763 32983 31909 31784 31477 245 15982 63607 127795
GCA_009733005.1 80058972 33731 32991 31927 31832 31533 245 15988 63655 127720
GCA_009733025.1 79986607 33742 33039 31926 31798 31466 245 16003 63624 127748
GCA_009733045.1 79240560 33613 32862 31836 31669 31397 245 15930 63439 127284
GCA_009733065.1 79356741 33660 32971 31843 31694 31400 245 15959 63514 127527
GCA_009733085.1 80092187 33810 33062 31965 31828 31505 245 16005 63706 127976
GCA_009733105.1 80074095 33786 33041 31951 31834 31502 245 16010 63672 127820
GCA_009733125.1 79795872 33811 32928 31962 31715 31442 245 15975 63696 127768
GCA_009733145.1 78796482 33367 32463 31851 31086 30808 245 15942 63104 126658
GCA_012295415.1 45871644 22009 21682 21610 21560 21491 245 10756 43217 86679
GCA_012295425.1 48522115 22893 22631 22621 22549 22548 245 11208 45093 89853
GCA_012295475.1 61904570 27919 27852 26664 27192 26786 245 13127 54046 108566
GCA_012552325.1 233833953 48675 45543 43178 42410 41439 245 21375 86483 172813
GCA_012656105.1 75871586 29193 28634 27728 27798 27785 245 13817 55611 111713
GCA_012932265.1 57062630 26485 26306 25831 25567 25493 245 12847 51565 102718
GCA_016618375.1 95353620 27853 26615 26149 25516 25402 245 13085 51714 103367
GCA_016864635.1 60638888 27221 27412 26592 26509 26638 245 13195 53373 106740
GCA_016864665.1 61464937 27351 27487 26639 26574 26712 245 13220 53457 106901
GCA_016864695.1 61559140 27306 27469 26622 26571 26712 245 13220 53427 106860
GCA_016864715.1 61417994 27397 27554 26740 26657 26856 245 13265 53662 107327
GCA_016864735.1 62334549 27837 27980 27158 27003 27179 245 13494 54494 108889
GCA_016864755.1 61557802 27399 27510 26702 26627 26744 245 13261 53551 107076
GCA_016864775.1 61468384 27491 27675 26777 26757 26894 245 13297 53761 107591
GCA_016864795.1 62034011 27730 27908 27038 26963 27123 245 13422 54295 108647
GCA_016864815.1 61438509 27298 27458 26615 26542 26679 245 13210 53418 106828
GCA_016864835.1 61235250 27286 27470 26637 26549 26710 245 13218 53454 106885
GCA_016864855.1 61895332 27675 27814 26996 26838 27042 245 13402 54132 108212
GCA_016865055.1 60704655 27467 27603 26856 26777 26913 245 13330 53902 107747
GCA_016865075.1 60473180 27298 27425 26595 26528 26703 245 13189 53403 106794
GCA_016865085.1 60508630 27389 27530 26670 26550 26757 245 13235 53376 106818
GCA_016865095.1 61341915 27223 27143 26452 26433 26386 245 13125 53063 106113
GCA_016880175.1 61369471 27238 27105 26502 26452 26388 245 13142 53109 106200
GCA_016880985.1 61228142 27204 27120 26420 26402 26342 245 13112 52994 105995
GCA_016906365.1 62116567 27573 27884 26899 26958 27035 245 13372 53992 108149
GCA_017309695.1 76455456 34363 34484 33843 33587 33862 245 16819 67680 135593
GCA_018292885.1 77800034 26315 25428 25009 24712 24888 245 12432 49879 100211
GCA_018292895.1 77582640 26368 25564 25365 24947 24890 245 12726 50254 100653
GCA_018292905.1 75767690 25952 25278 25081 24744 24856 245 12510 49729 99409
GCA_018691715.1 111073614 34416 33278 32222 31778 31364 245 16222 64174 128391
GCA_018873745.1 51221495 24544 24753 24366 24118 24449 245 12108 48690 97454
GCA_018873755.1 52269642 24895 25363 24686 24655 24831 245 12275 49551 99299
GCA_019155685.1 40466701 18916 18802 18789 18831 18835 245 9368 37395 75222
GCA_019155715.1 49557427 22760 22483 22448 22338 22231 245 11122 44740 89079
GCF_000142945.1 231402766 50612 47439 44899 44225 43250 246 22170 89807 179832
GCF_000149755.1 83630151 29722 28845 28948 28276 28208 245 14316 57793 114568
GCF_000247585.1 83419396 24966 24865 24604 24525 24594 247 12264 49299 98744
